Word,English Translation / Meaning,Sentence / Phrase (Kankanaey),Sentence / Phrase (English),POS,662
binmonget,got angry,Binmonget adi tan adi na maakseptar kamali na.,She got angry because she cannot accept her mistakes.,VERB,
binokatan,opened,Binokatan da din indawat anti.,They opened what aunt gave us.,VERB,
bisaang,piglet,,,VERB,
bisita,visitor,Adun bisita si kasar isunga irugi yu eht ay mandalos.,There will be many visitors for the wedding so you should start cleaning already.,NOUN,
bistigalen,to investigate,,,VERB,
biyag,life,"Simpli ay biyag di nilayad ko, managtungpal sin napoak ya sin ili tako ta makwani ay nalinteg ay anak, manang-eset ay ib-a ya natulnog ay umili.","I had a simple goal in life: to be true to my parents and our country as an honorable son, a caring brother, and a good citizen.
",NOUN,
biyang,care / concern / part,,,NOUN,
bogaw,shout,,,VERB,
bogbogtong,riddle,,,NOUN,
bokatan,to open,,,VERB,
bokod,property,,,NOUN,
bolinget,dark,,,ADJ,
bomaba,go down,,,VERB,
bomabbaba,going down,,,VERB,
bomadang,to help,,,VERB,
bomadbadang,helping,,,VERB,
bomaknang,to get rich,,,VERB,
bomaknangan,source of wealth,,,NOUN,
bomaktad,lay down,,,VERB,
bomala,go out,,,VERB,
bomalaan,exit,,,NOUN,
bomalasang,going to adolescence (female),,,VERB,
bomalbala,going out,,,VERB,
bomanda,towards,Nantabon sisya din ruwangan ay bomanda ed kasilyas.,He hid behind the door towards the toilet.,ADP,
bomandas,towards somewhere,,,ADP,
bomangon,get up,,,VERB,
bomangonak,get up (1st POV),,,VERB,
bomanogaw,shouting,,,VERB,
bomaro,going to adolescence (male),,,VERB,
bomasol,commit a sin,,,VERB,
bomasolak,i commit a sin,,,VERB,
bomasolan,commit a sin to,,,VERB,
bomolinget,getting dark,,,VERB,
bomonget,getting angry,,,VERB,
bonag,carry,,,VERB,
bongan,fruit of,,,NOUN,
bonget,anger,,,NOUN,
bonggoy,bunch of fruits / together,,,NOUN,
bonyag,baptism,Nay ed wani dumteng din awis para din bonyag di potot manung na.,The invitation for his brother's child has arrived now.,NOUN,
bonyagan,to baptize,,,VERB,
book,hair,,,NOUN,
bowan/buwan,moon/month,,,NOUN,
boway,tiredness,,,NOUN,
boyaen,to watch,,,VERB,
boyboyaen,watching,,,VERB,
daagen,sit/move beside,,,NOUN,
daan,way/not now,,,NOUN,
daanak,along the way,,,NOUN,
dadaelek,i will destroy,,,VERB,
dadaelen,to destroy,Adim dadaelen din talek ay indawat ko ken sika.,Do not destroy the trust I gave you.,VERB,
dadaelena,he/she will destroy,,,VERB,
dadakke,big/large,,,ADJ,
daddaagen,sitting/staying beside,Dey daddaagen na san aag-i na.,He is sitting beside his siblings.,VERB,
daetan,slow / prolonged,Daetan py ta malpas mo sa.,Why are you so slow to finish that,VERB,
daga,land,,,NOUN,
dagaang,hunger,,,NOUN,
dagdagas,further,,,ADV,
dagem,wind,Enka isimpa din atep di abong yo tan dey itayaw di dagem.,Go and fix your house's roof for it might be blown away by the wind.,NOUN,
dagos/dagus,fast/quick,,,ADJ,
dagsena,weight,,,NOUN,
daida,them,,,PRON,
daita,the two of us,Sinay din planok para en daita,This is my plan for the two of us,DET,
daka,get out of water,,,VERB,
dakami,the many of us,Dakami din inmey nansakdo san obbog,We are the ones who went to fetch water in the well.,ADJ,
dakayo,you and your companions,"Yan dakayo pay, sinoy madamag?","How about you, what can I hear from you?",NOUN,
dakdakdake,bigger/larger,,,ADJ,
dakdake,big/large,,,ADJ,
dalalo,hail,,,NOUN,
dalasem,faster/quicker (you),,,ADV,
dalasen,to move faster/quicker,,,VERB,
dallem,underwater,,,NOUN,
dalloyon,wave,Damagem kad nu adu an dalloyon ed sina ay banda,Go and ask if there are many waves at this side,NOUN,
damag,question/event/happening,,,NOUN,
damagen,to ask,,,VERB,
damagena,for him/her to ask,,,VERB,
damdamagen,asking,,,VERB,
damdamo,newly/starting,,,VERB,
damo,new/start/beginning,Irugim kasin san damo na.,Restart from the beginning.,ADJ,
dana,these,,,PRON,
danag,worry,,,VERB,
danan,way,Ay sik-a di naabat ko sin igid di danan,It was you whom i met along the way.,NOUN,
danay,these,,,PRON,
dandani,almost/about to happen,Dandani ak man-uga din inbagan ama,I almost cried with what my father said.,ADJ,
danom/danum,water,Adim kanapayang din danum.,Stop playing with the water.,NOUN,
dapan,sole,,,NOUN,
darat,sand,,,NOUN,
darum,sue,,,VERB,
datako,us,Indawat amak di biyag na ta wada di wayawaya en datako.,My father offered his life so our democracy could live.,PRON,
datdaton,offerings,,,NOUN,
datngak,arrive (place) / found,Nangawa-an di Tublay ya Buguias di parten di Atok ay nalaka ay datngan.,The part of Atok that is acessible is between Tublay and Buguias.,VERB,
datngan,Join,Nangawa-an di Tublay ya Buguias di parten di Atok ay nalaka ay datngan.,The part of Atok that is acessible is between Tublay and Buguias.,VERB,
datngen,find,,,VERB,
daton,offering,,,NOUN,
dawat,request,Tan nay adak kabaelan din dawat da amam,"Because of this, I can’t meet your parents’ demands.",NOUN,
daya,sky,,,NOUN,
dayaw,praise,,,NOUN,
dayawek,i praise,,,VERB,
dayawem,to praise,,,VERB,
dayawen,you praise,,,VERB,
daydayawek,i am praising,,,VERB,
daydayawen,praising,,,VERB,
dayon,hammock/cradle,,,NOUN,
deda,still present,,,ADJ,
dedan,too,Yan aw dedan yan,"Yes, I know that that is what must be done.",ADV,
demang," opposite side of a location, visible area from one's location",Inmey da ed demang.,They went to the other side.,ADJ,
dengdengngen,listening,,,VERB,
dengdengngena,he is listening to,,,VERB,
dengngek,i listen,,,VERB,
dengngem,you listen,,,VERB,
dengngen,listen,,,VERB,
dengngena,to listen 3rd,,,VERB,
depapen,to catch,Amey da depapen din tilapya ed wanga.,They will go and catch tilapia in the river.,VERB,
depapena,for him to catch,,,VERB,
deppas,ravine,,,NOUN,
diablo,demon,,,NOUN,
diadal,learned person/scholar,,,VERB,
didiyos,gods and goddesses,,,NOUN,
dila,tongue,,,NOUN,
dilikado,dangerous,,,ADJ,
dimonyo,demon,,,NOUN,
din/sin,referring to,Tan nay adak kabaelan din dawat da amam,"Because of this, I can’t meet your parents’ demands.",VERB,
dinaag,moved beside,,,VERB,
dinadael,ddestroyed,,,VERB,
dinaddaag,destroyed,,,VERB,
dinamag,asked,,,VERB,
dinan,walked,,,VERB,
dinatngan,found,,,VERB,
dinatngana,he/she found,,,VERB,
dinatnganas,was able to find,,,ADJ,
dinaydayaw,used to praise,,,VERB,
dindinnge,used to listen to,,,VERB,
dingding,wall,,,NOUN,
dinlaw,notice,,,VERB,
dinmakdake,got bigger/enlarged/increased in size or amount,,,VERB,
dinmateng,arrived,,,VERB,
dinmatngan,caught up?,,,VERB,
dinnge,listened/heard,,,VERB,
dinngek,i heard,,,VERB,
dinngem,you heard,,,VERB,
dinngen,he/she heard,,,VERB,
dinokogam,you backed away,,,VERB,
dinokogan,backed away,,,VERB,
dinomteng,arrived,,,VERB,
dinosa,punished,,,VERB,
dinosan,punished by,,,VERB,
dinpap,caught by,,,VERB,
dinteng,found,,,VERB,
dintengan,found,,,VERB,
dintengana,found,,,VERB,
diposan,Exit,,,NOUN,
dobli,double,,,ADJ,
dodowa,only two,,,ADV,
dodoway,only two of something,,,ADV,
dokogan,backed,,,VERB,
doktor,doctor,,,NOUN,
domadael,destroyer,,,NOUN,
domateng,arrive,,,VERB,
domatngan,caught up with / arrived to,,,VERB,
dominggo,sunday,,,PROPN,
dompap,to catch,,,VERB,
domteng,to arrive,,,VERB,
domtengan,arrived to / found,,,VERB,
dono,mountain dew,,,NOUN,
dontog,mountains,Natalenten di dontog sin nan-binas-il.,Mountains are arranged on each side..,NOUN,
dontog,mountain,Waday day dontog sin nanbinas-il,Mountains are situated by side,NOUN,
dooy,that,,,SCONJ,
dosa,punishment,,,NOUN,
dosaek,i punish,,,VERB,
dosaem,you punish,,,VERB,
dosaen,to punish,,,VERB,
dosaena,he/she punish,,,VERB,
dosaenas,to punish someone,,,VERB,
dosan,punishment of,,,NOUN,
dosi,twelve,,,NUM,
dotdot,feather,,,NOUN,
dowa,two,,,NUM,
dowadowa,unsure/doubt,,,ADJ,
dowadowak,my doubts,,,NOUN,
dowan,and?,,,CCONJ,
dowana,and he/she will?,,,CCONJ,
dowanak,and I will?,,,CCONJ,
dowanan,and he/she will?,,,CCONJ,
dowanpo,twenty,,,NUM,
doway,two of,,,NUM,
doy,that,,,SCONJ,
dumateng,coming/arriving,Dumateng ta ed ili ya ilam din baey mi,When we arrive at my place and you see our house,VERB,
duwa,two,Siya et na din pap-eng di layad ta ay duwa.,This is where our love for each other stops.,NUM,
edasan,guess,,,VERB,
edeg,back,,,ADV,
edwani,now,"Enggana edwani , wada ladta mamati si aanito","Until now, some people still believe in ghosts.",ADV,
eesa,only one,,,ADV,
egen,something someone is carrying,,,VERB,
eges,stomach,,,NOUN,
egyat,fear,,,VERB,
egyatan,fearful,,,ADJ,
egyaten,to make someone fear,,,VERB,
ekan,bed,,,NOUN,
emegyat,fearing,,,VERB,
emegyatak,i am fearful,,,ADJ,
emegyatan,something one fears,,,VERB,
emey,go,Awni ta malpas am-amagek sipay emey ayagan sisya.,Wait for me to finish what I am doing before I will go and call for him.,VERB,
emeyak,where i go,,,VERB,
emeyam,where you go,,,VERB,
emeyan,where to go,,,VERB,
emeyana,where she go,,,VERB,
ena,he/she will go,ena ipodno din ayat na,He went to confess his feelings,VERB,
enak,i'll go,,,VERB,
enda,they go,Enda anupan din atap ay ugsa ed bilig.,They will hunt for the wild deer in the forest.,VERB,
eneb,door,,,NOUN,
enem,six,,,NUM,
eng,nose,Siya et na din pap-eng di layad ta ay duwa.,This is where our love for each other stops.,NOUN,
eng-enggana,until until / forever / long lasting,,,VERB,
enggana,until,"Enggana edwani , wada ladta mamati si aanito","Until now, some people still believe in ghosts.",ADP,
engganad,until when (past),,,NOUN,
engganas,until when (future),,,NOUN,
engganay,until when (future),,,NOUN,
enggay,enough,,,ADV,
enka,you go,Enka isimpa din atep di abong yo tan dey itayaw di dagem.,Go and fix your house's roof for it might be blown away by the wind.,VERB,
enta,let's go (2),Enta manpasyal ed ili kad una.,Let us visit our hometown first.,VERB,
es-esa,only one,,,ADV,
es-esten,do better,,,VERB,
esa,one,"Anya ngay, wat ak esa lang ay manlaylayad ken sika.","What can I do, I am just someone loving you.",NUM,
esaak,i am one,,,PRON,
esaen,combine,,,VERB,
esay,one something,wada di esay nasdem ay enan nan udanan.,There was one afternoon when it rained.,NUM,
esek,crop (planted),,,NOUN,
estek,i do better,,,VERB,
estem,you do better,,,VERB,
esten,to do better,,,VERB,
estena,he does better,,,PRON,
etek,pride,,,NOUN,
etekan,to be proud,,,ADJ,
etekana,to be proud,,,ADJ,
eweg,snake,,,NOUN,
eyak,i will go,Ta eyak et mantamang istasyon ed loakan,I will just go to the station in Loakan.,VERB,
gabgab,scratch wound,,,NOUN,
gagait,companions,,,NOUN,
gagayyem,friends/,Din gayyem kon Mankayan,My lover in Mankayan,NOUN,
gaget,perseverance\industriousness,,,NOUN,
gait,companion,,,NOUN,
galot,rope,,,NOUN,
gambang,copper,,,NOUN,
gameng,wealth/possession??,,,NOUN,
gamgameng,fortune,,,NOUN,
gamgamgamen,get all,,,VERB,
ganak,family,,,NOUN,
ganas,passion/enjoyment,,,NOUN,
ganasen,to enjoy,,,VERB,
gandat,it's okay,,,ADJ,
gapo,cause/reason,,,VERB,
gapon,cause of,,,NOUN,
gapos / gapus,caused by?,,,VERB,
garami,grass,,,NOUN,
gasat,fate,,,VERB,
gasot,hundred,,,NUM,
gatas,milk,,,NOUN,
gawa,middle,Sin ay gawa din pusod,In the middle of the waterfall,ADJ,
gawaan,in between,,,ADP,
gawan,middle of,,,NOUN,
gayadan,endpoint / edge,,,NOUN,
gayaman,caterpillar,,,NOUN,
gayang,crow / throw,,,NOUN,
gayyem,friend / bf/gf,Din gayyem kon Mankayan,My lover in Mankayan,NOUN,
gedeng,separation line,,,NOUN,
genan,to carry,,,VERB,
genana,he carry,,,VERB,
gengey,clumsy,,,ADJ,
gimgimong,praise and worship,,,NOUN,
gimong,praise and worship,,,NOUN,
ginawang,river,,,NOUN,
gingined,earthquake,"Napigsa din gingined, nay adu nadadael.","The earthquake was strong, many things were destroyed.",NOUN,
ginmabay,grew,,,VERB,
ginmiginek,keeping quiet,,,VERB,
ginminek,kept quiet,,,VERB,
ginobat,declared war,,,VERB,
gitara,guitar,,,NOUN,
giwiten,poke? / to tease / to pester?,,,VERB,
gobat,battle,,,NOUN,
gobatan,battlefield,,,NOUN,
gobaten,to go to war with,,,VERB,
gobernador,governor,,,NOUN,
gobierno,government,,,NOUN,
gogobat,battles,,,NOUN,
gogobernador,governors,,,NOUN,
gogowardiya,guards,,,NOUN,
gogowardiyan,guards of,,,NOUN,
golo,chaos,Sik-a di talged ko isnan nay lubong ay nagolo-golo.,You are my assurance in this chaotic world.,NOUN,
gomabay,to grow,,,VERB,
gomabayan,place to grow?,,,NOUN,
gomabgabay,growing,,,VERB,
gomiginek,keeping quiet,,,VERB,
gominek,kept quiet,,,VERB,
gomobat,to battle,,,VERB,
gomot,fingers/toes,,,NOUN,
gon-gona,deserve!,,,VERB,
gonay,movement of persom,,,NOUN,
gondaway,opportunity,,,NOUN,
gowapo,handsome,,,ADJ,
gowardiya,guard,,,NOUN,
grupo,group,,,NOUN,
grupon,group of,,,NOUN,
iali,to bring,,,VERB,
ialim,you bring,,,VERB,
iamag,to repair/fix,,,VERB,
ianak,to give birth to,,,VERB,
iarig,to treat as,,,VERB,
iawat,to give,,,VERB,
ib-a,companion,"Simpli ay biyag di nilayad ko, managtungpal sin napoak ya sin ili tako ta makwani ay nalinteg ay anak, manang-eset ay ib-a ya natulnog ay umili.","I had a simple goal in life: to be true to my parents and our country as an honorable son, a caring brother, and a good citizen.
",NOUN,
ibaa,to ask to do,,,VERB,
ibaba,to move something down,,,VERB,
ibabain,to shame,,,NOUN,
ibabawi,to take back,,,VERB,
ibabbaes,taking revenge,,,VERB,
ibadang,something to help with,,,VERB,
ibado,something to wear,,,VERB,
ibaes,to take revenge,,,VERB,
ibaga,to tell,,,VERB,
ibagak,i tell,,,VERB,
ibagam,you tell,,,VERB,
ibagan,to be told by,,,VERB,
ibagbaga,telling/saying,,,VERB,
ibagbagak,i am saying,,,VERB,
ibagbagam,you are saying,Sisya lang manongtongpal san ibagbagam yan pagat mu lalasoyen sisya mu.,"He is the only one obeying what you are saying, yet why are you treating him that way.",VERB,
ibagbagan,being told by,,,VERB,
ibala,to move out/take out,,,VERB,
ibalod,to take to prison,,,VERB,
ibangon,to get up,,,VERB,
ibaw,fight/argument,,,NOUN,
ibayad,to pay,,,VERB,
ibbayan,place to rest,,,NOUN,
ibilang,to count,,,VERB,
ibilbilang,counting,,,VERB,
ibilin,to advice,,,VERB,
ibingay,to share,,,VERB,
ibingayan,to allocate,,,VERB,
ibogaw,to shout,,,VERB,
ibogbogaw,shouting,,,VERB,
ibokbok,to pour,,,VERB,
ibolos,to free someone,,,VERB,
ibugbugaw,shouting/Loud,Ibug-bu-gaw di nem-nem-ne-men,Thinking out loud,VERB,
idadaan,to walk something??,,,VERB,
idarum,to file a case,,,VERB,
idatdaton,offering something,,,VERB,
idatdatonan,offering something,,,VERB,
idateng,to arrive with something,,,VERB,
idaton,offering something,,,VERB,
idatona,offering something,,,VERB,
idatonak,offering something,,,VERB,
idatonan,offering something,,,VERB,
idawat,give,,,VERB,
idawdawat,giving,,,VERB,
idawtak,i give to someone,,,VERB,
idawtam,you give to someone,,,VERB,
idawtan,to give to someone,,,VERB,
idawtana,he give to,,,VERB,
idawtanas,he give to,,,VERB,
idayaw,praise,,,NOUN,
idaydayaw,praising,,,VERB,
idi,when / long ago,Ta ameyak anapen din pusok ay nalitaw idi tinmaynan ka,I will go and find my heart which was lost when you left me.,ADJ,
idoldolinan,somewhere to keep / store,,,VERB,
idolin,keep/store,Idolin mun osal mu ta adin maiwawarang.,Keep your things so it is not scattered there.,VERB,
idomdoma,unique,,,ADJ,
ietekan,to deceive,,,VERB,
iey,to get somethiong somewhere,,,VERB,
igid,edge/side,Ay sik-a di naabat ko sin igid di danan,It was you whom i met along the way.,NOUN,
igiginek,keeping quiet,,,VERB,
iginek,keep quiet,,,VERB,
igto,put,,,VERB,
igtom,you put,,,VERB,
iib-a,companions,,,NOUN,
iibaw,fightings / arguments,,,NOUN,
iilaen,to guard,,,VERB,
iipogaw,people,,,NOUN,
iiso,similar,,,ADJ,
iitaw,dream,,,NOUN,
iiyogtan,younger siblings,,,ADJ,
ikaan,take away,,,VERB,
ikadkadwa,take with,,,VERB,
ikanayon,to always do / to be consistent,,,VERB,
ikanta,to sing,,,VERB,
ikantaan,to sing for,,,VERB,
ikararag,to pray,,,VERB,
ikararagan,to pray for,,,VERB,
ikari,to promise / make an oath,,,VERB,
ikarkararag,praying for,,,VERB,
ikaro,suffer from,,,VERB,
ikasin,to repeat,,,VERB,
ikaskasaba,to preach,,,VERB,
ikaskaso,to feel,,,VERB,
ikayang,spread,,,VERB,
ikeddeng,to finish,,,VERB,
iko,tail,,,NOUN,
ikosnong,to put inside a container,,,VERB,
ikoyog,companion (isama),,,NOUN,
ila,vision / sight / see /,Manluluwa san mata ay mang-ila ay mangtaynan ka.,My eyes are tearing up as I watch you leave me.,NOUN,
ilablaban,fighting for,,,VERB,
ilaen,to see,,,VERB,
ilaklako,selling,,,VERB,
ilako,to sell,,,VERB,
ilan,look,ilan you tan malned kayo ,Look out for you might drown,VERB,
ilansa,to nail,,,VERB,
ilawlawag,clarify/explain,,,VERB,
ili,place,Ili ay en mi na-itago-an,Place where we began our life.,NOUN,
ilisi,to move aside,,,VERB,
iliw,homesickness,"Manipud san nan-am-amuan ta, inagew ay mail-iliw ak ken sik-a.","Starting from when we first met, I am missing you everyday.",ADJ,
illeng,rest,,,VERB,
illengan,place to rest,,,NOUN,
ilogi,to start,,,VERB,
ilogin,to be started by,,,VERB,
imbis,instead of,,,ADV,
imongsan,to combine,,,VERB,
ina,mother,Wada ed likod din mulan c ina.,Mother's plants are at the back.,NOUN,
inaammo,to know,,,VERB,
inabak,defeated,,,VERB,
inabat,met,,,VERB,
inadal,learned,,,VERB,
inagew,everyday,"Manipud san nan-am-amuan ta, inagew ay mail-iliw ak ken sik-a.","Starting from when we first met, I am missing you everyday.",NOUN,
inagsapa,every morning,Inagsapa yan masapa at manlugi.,We start early every morning.,NOUN,
inakew,stolen,,,VERB,
inalibongbongan,crowded,,,VERB,
inam-amag,been doing,,,VERB,
inamag,did,"Pasensya han inamag ko, manpaila ka et adi.","I apologize for what I did, please show up.",VERB,
inan-anusan,patient,"Inan-anusan day ligat, tapno makapalpas ka eskwela ",I endured difficulty so you could finish school.,NOUN,
inanaanap,been finding,,,VERB,
inanap,went to find,,,VERB,
inandiyan,rejected,,,VERB,
inani,harvested,,,VERB,
inapalan,envied,,,VERB,
inapayaw,run after,,,VERB,
inasawa,married,,,VERB,
inaw,"crave, wash",,,NOUN,
inawat,understood,,,VERB,
inawatan,understood,,,VERB,
inawis,invite,,,VERB,
inayad,slowly,,,ADV,
inayagak,called for,,,VERB,
inayagan,called for,,,VERB,
inayagana,called for,,,VERB,
inayaganas,called for,,,VERB,
inayan,something prohibited,,,VERB,
inbaa,commanded,,,VERB,
inbaak,i commanded,,,VERB,
inbaan,he/she commanded,,,VERB,
inbabawi,cancelled,,,VERB,
inbado,wore,,,VERB,
inbaga,said,Ay naawatan yo din inbaga da,Have you understood what they said,VERB,
inbagak,i said,,,VERB,
inbagam,you said,,,VERB,
inbagan,he/she said,Dandani ak man-uga din inbagan ama,I almost cried with what my father said.,VERB,
inbagbaga,refers to statements told,,,VERB,
inbagbagak,refers to statements told by me,,,VERB,
inbagbagam,refers to statements told by you,,,VERB,
inbagbagan,refers to statements told by someone,,,VERB,
inbala,went out with,,,VERB,
inbalod,imprisoned,,,VERB,
inbayad,used to pay,,,VERB,
inbilang,included,,,VERB,
inbilin,instructed,,,VERB,
inbilina,instructed by someone,,,VERB,
inbogaw,shouted,,,VERB,
inbolos,freed,,,VERB,
inbonget,got angry,,,VERB,
indarum,filed a case,,,VERB,
indasan,caught up with,,,VERB,
indasana,caught by,,,VERB,
indatdaton,offered by,,,VERB,
indateng,brought,Indateng na din makan,She brought the food,VERB,
indaton,offered by,,,VERB,
indawat,gave/offered,Indawat amak di biyag na ta wada di wayawaya en datako.,My father offered his life so our democracy could live.,VERB,
indawdawat,what you have given,,,VERB,
indawtan,gave,,,VERB,
indodolin,refers to something kept,,,VERB,
indolin,kept,,,VERB,
inga,ears,,,NOUN,
ingan,the ears of someone,,,NOUN,
inigid,moved aside,,,VERB,
inigto,kept,,,VERB,
iniipit,pressed,,,VERB,
iniitaw,dreamt,,,VERB,
inila,to see,,,VERB,
inilak,I saw it,,,VERB,
inilam,You saw it,Tan nu ilam din bado,Because if you see their clothes,VERB,
inilan,seen by,,,VERB,
inisgep,to insert,,,VERB,
init-itdon,being pointed out,,,VERB,
initdo,pointed / taught,Itdom kod di kad-an di ba-ey yo.,Will you please point to where your house is,VERB,
initdoanas,taught someone,,,VERB,
initdok,i point out,,,VERB,
initdon,pointed out by,,,VERB,
initlod,escorted / accompanied,,,VERB,
initpig,to throw away,,,VERB,
inkararag,prayed,,,VERB,
inkari,promise,,,NOUN,
inkarik,i promised,,,VERB,
inkarim,promised by you,,,VERB,
inkarin,promised by someone,,,VERB,
inkasinpo,tenth,,,ADJ,
inkasinpon,tenth of something/someone,,,ADJ,
inkaskasaba,preached by,,,VERB,
inkaskasabak,preached by me,,,VERB,
inkaskasaban,preached by someone,,,VERB,
inkaskaso,moved,,,VERB,
inkatlon,third of something,,,ADJ,
inkayang,spread,,,VERB,
inkeddeng,ended,,,VERB,
inkosnong,put,,,VERB,
inkoyog,i included,,,VERB,
inlako,will sell,,,VERB,
inlansa,nailed,,,VERB,
inlawlawag,elaborated,,,VERB,
inlogi,started,,,VERB,
inlogin,started by,,,VERB,
inmaddawi,kept distance,,,VERB,
inmali,arrived,Inmali ak ay mansapata.,I came here to take an oath.,VERB,
inmaliak,I arrived,,,VERB,
inmalian,arrived (3rd POV),,,VERB,
inmaliana,someone arrived,,,VERB,
inmalis,relocate,,,VERB,
inmanay,fitted,,,VERB,
inmatonan,recognized,,,VERB,
inmayag,called,,,VERB,
inmayos,flowed,,,VERB,
inmegyat,scared,,,VERB,
inmey,went,Dakami din inmey nansakdo san obbog,We are the ones who went to fetch water in the well.,VERB,
inmeyak,i went,,,VERB,
inmeyam,you went,,,VERB,
inmeyan,someone wentt,,,NOUN,
inmeyana,he/she went,,,VERB,
inmibaa,asked to go,,,VERB,
inmisalakan,saved,,,VERB,
inmola,planted,,,VERB,
inmonod,followed,,,VERB,
innagew,everyday,,,NOUN,
innapo,inlaw [daughter-in-law/son-in-law],,,NOUN,
inoklag,spread out,,,VERB,
inom,drink,Adyam abe manolisog ay amey man-inom.,Don't tempt me to go drink.,VERB,
inoman,somewhere to drink,,,VERB,
inomen,to drink,,,VERB,
inomena,he drink,,,VERB,
inonod,followed,,,VERB,
inoodi,younger siblings,,,ADJ,
inoona,eldest/first child,,,ADJ,
inosal,used,,,VERB,
inoyad,straighten,,,VERB,
inpaamag,asked to build,,,VERB,
inpaammo,made it known,,,VERB,
inpaammok,i made it known,,,VERB,
inpaammom,you made it known,,,VERB,
inpaammon,someone made it known,,,VERB,
inpaanongos,put at the end,,,VERB,
inpaayag,called,,,VERB,
inpababa,put down,,,VERB,
inpabaklay,made(someone) carry,,,NOUN,
inpabalod,put to jail,,,VERB,
inpabasol,blamed someone,,,VERB,
inpabela,move something out,,,VERB,
inpabonget,made someone angry,,,VERB,
inpadamag,ask about something,,,VERB,
inpadto,forcast,,,ADJ,
inpadton,to bring,,,VERB,
inpaginek,made someone quit,,,VERB,
inpaibaga,made someone tell,,,VERB,
inpaibagan,to tell,,,VERB,
inpaiitaw,made someone dream,,,VERB,
inpaila,showed,,,VERB,
inpailak,i showed,,,VERB,
inpailam,you showed,,,VERB,
inpailan,someone showed,,,VERB,
inpainom,made someone drink,,,VERB,
inpaisolat,made someone write,,,VERB,
inpakaan,made it removed,,,VERB,
inpakaana,was fed,,,VERB,
inpakadodogis,dirtied,,,VERB,
inpakat,exerted effort,,,VERB,
inpakenteg,hardened,,,VERB,
inpakodan,left,,,VERB,
inpalak,fetch,,,NOUN,
inpalawag,expounded / made someone understand,,,VERB,
inpalobos,freed someone,,,VERB,
inpaneknek,to show,,,VERB,
inpanemnem,remind,"No nak nemnemen din nakuykuyagan ta
",If I remember the things we went through together,VERB,
inpangadan,named,,,VERB,
inpangato,put up,,,VERB,
inpango,lead,,,VERB,
inpangom,you lead,,,VERB,
inpangon,lead by someone,,,VERB,
inpapasnek,persevered,,,ADJ,
inpapati,persevered,,,ADJ,
inpapika,made someone get up,,,VERB,
inpapilit,forced,,,VERB,
inpapse,assassinated / had someone killed,,,VERB,
inparit,restricted,,,VERB,
inpasaa,told to go home,,,VERB,
inpasaldeng,stopped,,,VERB,
inpasgep,put inside,,,VERB,
inpasinop,asked to gather,,,VERB,
inpawada,produced/ materialized,,,VERB,
inpawadam,produced/ materialized (you),,,VERB,
inpawadan,produced/ materialized (3rd POV),,,VERB,
inpeey,put,,,VERB,
inpidwapidwa,twice,,,ADV,
inpigsa,louder / stronger (----)????????,,,ADJ,
inpilit,forced,,,VERB,
inpolang,returned,Manladladingit han pamilya tan inpolang ama da din biyag na ken Apo.,The family is grieving as their father returned his life to the Lord.,VERB,
inponpon,buried,,,VERB,
insaad,built,,,VERB,
insagana,prepared,,,VERB,
insaganak,i prepared,,,VERB,
insaganam,you prepared,,,VERB,
insaganan,prepared by,,,VERB,
insagot,offered,,,VERB,
insakit,sympathize,,,VERB,
insalakan,saved,,,VERB,
insalakana,saved by,,,VERB,
insalakanas,saved someone,,,VERB,
insaldeng,stopped,,,VERB,
insapata,made an oath,,,VERB,
insapatak,i made an oath,,,VERB,
insapatam,you made an oath,,,VERB,
insapatan,an oath is made by somene,,,NOUN,
inset,fixed,,,VERB,
insigon,whatever,,,PRON,
insodsod,reported / told on,,,VERB,
insolat,written,,,VERB,
insolsolat,refers to the things wrote,,,VERB,
insolto,insult,,,NOUN,
insongbat,answered,,,VERB,
insoyat,poured water,,,VERB,
intakin,brought along,Intakin tako,We brought with us.,VERB,
intakina,he/she brought along someone,,,VERB,
intakkayan,helped,,,VERB,
intalek,trusted with,,,VERB,
intaoli,returned,,,VERB,
intapi,added,,,VERB,
intiro,entire,,,ADJ,
intogon,told / adviced,,,VERB,
intolag,made a deal,,,VERB,
intoloy,continued,,,VERB,
intoltoloy,continuing,,,VERB,
intoy,where?,intoy papanam,where will u go?,SCONJ,
inturayan,lead,,,VERB,
inturayana,lead by,,,VERB,
inturong,lead,,,VERB,
inwasit,threw,,,VERB,
inyaan,gave,,,VERB,
inyaanas,gave to,,,VERB,
inyaat,did,,,VERB,
inyat,did,,,VERB,
ipaabak,to  cause a loss,,,VERB,
ipaamag,to ask to be built/done,Ad-ado di ipa-amag da.,They gave us a lot to do.,VERB,
ipaammo,to make known,Ad-ado ay banag di laydek ay ipaammo.,"There are so many things I want you to know,.",VERB,
ipaammok,to make known,,,VERB,
ipaammom,to make known,,,VERB,
ipaammon,to make known,,,VERB,
ipaanongos,to put in the last,,,VERB,
ipaayag,to call for someone,,,VERB,
ipaayag,to call,,,VERB,
ipababa,to move down,,,VERB,
ipabasol,to blame,,,VERB,
ipabela,to move something out,,,VERB,
ipadamag,to ask about something,,,VERB,
ipadas,to try,,,VERB,
ipadateng,to convey/relay,,,VERB,
ipadto,prophesize,,,VERB,
ipagarup,to assume,,,VERB,
ipaila,to show,,,VERB,
ipailak,to show,,,VERB,
ipailam,to show,,,VERB,
