bigao,winnowing basket
kur-it,apostrophe
contractions,contractions
pagmaymaysaen,to combine into one
panangpababa,shortening
maibalikas,to be pronounced
kaspagarigan,for example
isu’t,he is
isuna’t,he is
dakami’t,we are
dakayo’t,you are
sika’t,you are
datayo’t,we are
agsursurat,writing
agbasbasa,reading
aglanglangoy,swimming
aglutluto,cooking
agmula,to plant
aglako,to sell
agpabpabasol,blaming others
nangawid,went home
bag,bag
naglugan,rode
motorsiklo,motorcycle
mangtultulong,helping
ading,younger sibling
nangkibin,picked up
binmallasiw,crossed the road
kalsada,road
nagwalis,swept
tattay,earlier
nadayaw,respectful
nasingpet,kind
napili,chosen
agsala,to dance
nalalaing,skillful
mantika,oil
ruot,grass
rangtay,bridge
rikna,feeling
rabii,night
rukod,measure
reyna,queen
rosas,rose
ramay,finger
rambutan,rambutan fruit
relo,watch
ama,father
rupa,face
ruangan,window
pabula,fable
legend,legend
panagdrama,dramatization
aksion,action
rubrik,rubric
pangibasaran,basis
naipakita,was shown
nalaing,skillful
panag-arte,acting
paset,part
pasamak,event
nagakem,characters
napateg a napasamak,important event
katnu ken ania,when and what
pangawag,nickname
nagdayamudom.,she murmured
nakapungtot.,got angry.
napukaw.,disappeared.
nagdumog.,leaned forward.
pinidutna.,she picked it.
nagsinnaay.,she regretted
pinagbabawi.,repentance
ugedan,underline
dialogo,dialogue
nadayaw,courteous.
makipatang,to converse.
nataengan,elders.
agsaludsod,to ask a question.
agpakada,to say goodbye.
agdawat,to request.
sumungbat,to answer.
agyamanak.,thank you.
sinagutannaka,gave you a gift.
bestida,dress.
naragsakan,happy.
immarakup,hugged.
bisita,visitor.
sala,living room.
plasa,plaza.
agpasiar,to take a walk.
nasabatmo,you met.
pagtagariam,to greet.
nagkinnita,saw each other.
nagsinnabat,met each other.
nadungpar,bumped into.
agkikinnamat,playing together.
pagadalan,school.
nasakitan,hurt.
kuarta,money.
makan,food.
naimas,delicious.
regalo,gift.
nasangpetam,you arrived.
ikit,aunt.
maliiw,to miss someone.
agap-apuraak,i am in a hurry.
agpaigid,to be careful.
nakatugaw,sitting.
sango,front.
pinuros,gathered.
sampagita,sampaguita jasmine flower
nadi,bad
natarusan,forgiven
madil-dilaw,to be ashamed
itan-ok,pride
nabak-nang,rich
maalumamay,soft
damag,worry
maumay,to get tired
awan danag,no worry
mauyaw,to be scolded
maulaw,shy
mapaunget,to be made angry
nalabid,naughty
birbiruken,to look for something
nakita,seen
pakakitaan,where something can be found
uneg,inside
nakakarga,contained
rabaw,on top
nakaparabaw,placed on top
sirok,under
nakakabel diay sirok,located under
ruar,outside
adda idlay ruar,is outside
katre,bed
pusa,cat
pungan,pillow
aso,dog
kaykayo,tree
paypay,fan
babae,woman
ubbing,child
nakaiagem,holding
dakkel,big
nalukmeg,fat
agdigdigos,taking a bath
matmaturog,sleeping
kahon,box
basket,basket
gym,gym
agbuybuya,watching
basketball,basketball
pantalon,pants
paraangan,yard
aggikinnamat,playing together
aggalut,cutting
indayan,firewood
manga,mango tree
libro,book
nakimisa,attended mass
simbaan,church
kalasada,road
nakabulas,loose
prutas,fruit
metu,too
nakangiw-ngiwat,laughing loudly
nagimas,good
katungtong,talking to someone on the phone
lugan,vehicle
paganurotan,instructions
aramiden,to do
pampannunoten,thoughts
galaw,action
nalpasen,finished
madama,currently happening
panagusar,usage
itatta,now
inaldaw,everyday
kanayon,always
idi kalman,yesterday
sakbay nga,before
mangmangan,eats
agayay-ayam,is playing
umin-inom,drinks
agkatkatawa,laughing
agtaytayab,laughing
agidurduron,flying
sibsibugan,is watering
agbirbirok,is looking for
agbakasyon,will go on vacation
umununeg,is entering
agar-arado,is plowing
nagpasiar,strolled
nagdalus,cleaned
nagtaray,ran
nagkali,dug
nagpuros,picked
tinarimaan,accepted
pinunno,filled
gimmatang,bought
nagbuya,watched
naglaba,washed clothes
nagayab,called
nasaririt,was able to
agbaybayad,will pay
agsao,will speak
aganunot,will think
agpukpukkaw,will shout
ack stone,jacks game
manang,older sister
nasalun-at,healthy
itlog,egg
bumaranggay,community members
gobierno,government
masetas,plants
abut,hole
panagkaykaysa,unity
sabsabong,flowers
hardin,garden
bisekleta,bicycle
nadadael,broken
kaiman,harvest time
dram,container
kawes,clothes
namureng,dirty
agsuksukat,changing clothes
agkupkupin,covering oneself
umis-isem,smiling
agsangsangit,crying
agkarkarayam,playing
agpuspusipos,spinning
agbagbagkat,carrying on the shoulder
agitintinnag,falling
agsagsagaysay,combing hair
maiyaplikar,to apply
biag,life
panagbiag,life
rima,rhyme
tumultulong,helping
nagbagkat,carried
sumangpet,arrived
aggitara,to play guitar
isursuratko,i will write
agang-angaw,is barking
agar-amid,makes
agad-adal,studies
ik-ikkan,will be given
aglaglagto,jumps
agdigdigos,takes a bath
sumangpetak,i arrive
sabatemnak,greets me
nagpakada,said goodbye
sinaranay,turned on the light
nagkinnawat,received
agdissu,to reside
imminum,drank
agpukat,picked
aggian,live
agsubbot,save
maabog,will disappear
agparparut,cutting
aginana,to rest
agluglugan,riding a vehicle
pakanenna,feeds
agkikibin,picking
nagmulagat,looked around
agpalakpak,to clap
timpuak,jumped
kayo,wood
pagsungrod,post
arubayan,yard
karayan,river
street foods,street foods
agtutubo,youth
ginittaan,sauteed dish
rekado,ingredients
taraon,food
panagtutudo,rainy season
taraken,pet
kaay-ayam,playmate
leksion,lesson
assignment,assignment
eksamen,exam
baro a bad,new clothes
panagserra,end of school year
aso a puraw,white dog
biniigat,early morning
narat,obedient
nagtulang,bone
pagsilawan,light
maiparit,forbidden
basura,trash
mulmula,plants
pagtaengan,dwelling
karpintero,carpenter
maladaga,young man
umuli,to climb
masakit,sick
tuleng,deaf
radio,radio
temga,pond
nuang,carabao
nabannogen,tired
pasagad,cart
asona,his dogs
bulbulong,leaves
naumos,calm
agkaaruba,neighbors
dalag,young woman
kasipngetan,darkness
dakulap,hands
pitak,hole
nagleato,slipped
nangato,high
direksion,directions
wagas,step
panagaramid,the act of doing
pagasarunuen,to sequence
umuna,first
maikadua,second
kalpasanna,then
sumaruno,next
maudi,last
sakbay,before
malpas,after
insaruno,then added
kamaudiananna,finally
addang,step
aglaba,wash clothes
agsukat,change clothes
danuman,add water
palamiiisen,let it cool
agidda,to lie down
agkararag,pray
agbuggo,splash
agunnat,stretch
agwagwag,wash
ikahon,box
timbukelan,encircle
manisurat,write
agdrowing,draw
marisan,color
kupinek,i fold
bugwan,share
linayen,stir
sukaten,remove
ikarga,place inside
idulin,put away
ibati,leave behind
impisok,insert
nagawid,went home
kahel,orange
berde,green
pomelo,pink
agong,nose
panganan,bell
strawberry,strawberry
nalabbaga,red
ube,purple
ubas,grapes
cherries,cherries
asul,blue
krayola,crayon
paborito,favorite
nagan,name
masitas,plants
sandwich,sandwich
tinapay,bread
pagkinnaluben,to spread on
pulagidan,to spread
balkoten,to wrap
panagmula,planting
natnag,fell
umul-uli,climbing
nakaturog,sleeping
kibkibinen,being helped
bumallasiw,road
oles,blanket
parick,container for oil
agprito,to fry
nabatil,beaten
ipisok,to put in
para balay,for home
innapoy,rice
kanen,food
klasrum,classroom
kaeskuelaan,classmate
gamit,things
mausar,to be used
panagadal,studying
bangus,milkfish
sagpaw,topping
luf-lutuen,to cook by boiling
karne,meat
nateng,vegetables
bisinen,hungry
pagpilaan,place for lining up
nataengan,elderly
nakapsutdan,weak
pudno,truth
panagtimpla,preparing
kape,coffee
baso,glass
asukar,sugar
idanon,deliver
sidadayaw,respectfully
nagpakadaak,i asked permission
kinunana,she said
mabalin,possible
makappanak,i can go
dumar-ay,to attend
agkimitata,we will meet
awisenka,i am inviting you
padaya,party
insagana,prepared
oras,time
malem,afternoon
ulo,head
uyek,cough
gurigorria,colds
imbalakad,advice
doktor,doctor
panagisuro,teaching
agsurat,to write
avisen,to invite
panangawis,inviting
pamiliada,their family
card,card
nagpaset,problem
nakapasamakan,setting
parikot,characters
narisut,solved
naragsak,happy
naliday,sad
konsepto,concept
abilidad,skill
matarusam,you understand
naduma-duma,various
lubnak,swamp
bilbilinen,reminding
umas-asideg,to go near
siguradoak,i am sure
matiliw,to be caught
napardasak,i am fast
tumayab,to fly
malas,luck
natiliw,was caught
kinnan,ate
natay,died
baybay,sea
klinika,clinic
doktora,doctor
agpaparot,to extract
kaayan-ayat,beloved
balasang,young woman
tiniliw,captured
impawnawda,they took away
puraw,white
duyaw,yellow
maraubi,violet
bassit,small
atiddog,long
ababa,short
kalalainganna,medium
makunam,you can say
sapatos,shoes
bayabas,guava
amisaan,dining table
napukaw,lost
nagpidot,picked up
kinnanna,he ate
pinggan,plate
nasabat,encountered
ipus,tail
naglemmeng,hid
platito,small plate
tabla,plank
nasarakak,i found
panio,handkerchief
kalub,cap
bote,bottle
kawayan,bamboo
natumba,fell down
bunga,fruit
kaimito,star apple
tugtugaw,chairs
pitser,pitcher
kategoria,category
temperatura,temperature
tekstura,texture
pangnagan,the thing being described
mangiladawan,describes
nakigtot,afraid
mabisin,hungry
nabsog,full
naunget,angry
nalamiis,cold
napudot,hot
nabara,warm
nakersang,rough
nalamuyot,soft
natangken,hard
agkakanta,singing
salamagi,tamarin tree
bagi,body
sopas,soup
kapas,cotton
marshmallow,marshmallow
darat,sand
icedrop,ice drop
ules,blanket
pinagkadua,joined
baro a balikas,new word
kaipapanan,meaning
tarus,translation
benneg,hyphen
taray-kabalio,fast runner
siled-pagbasaan,library
gingat-pag-ong,turtle
taray,run
kabalio,horse
siled,room
pagbasaan,reading place
agaw-sipnget,dusk
agaw,to overcome
sipnget,darkness
singpet-kiteb,shy
singpet,well-behaved
kiteb,tick insect
gunay-pag-ong,slowpoke
gunay,slow
tangkan-ulo,stubborn
tangkan,hard
karimbaboy,walking on all fours
karim,share
kadamay,to accompany
baboy,pig
kudil-sibuyas,sensitive
kudil,skin
sibuyas,onion
ballasiw-taaw,overseas
ballasiw,across
taaw,sea
bantay-balay,watchdog
ipus-atiddog,long-tailed
naarsagid,easily offended
nabuntog,slow
napardas,fast
rumabiin,evening
nauilmek,quiet
kaay-ayanko,my friend
sim-mangpet,yesterday
kalman,won
atleta,athlete
pinakan,fed
nakakulong,imprisoned
pimmanaw,left
natulnog,obedient
natangsit,arrogant
panangusar,usage
nausar,used
naadalmo,you learned
pitik-bulag,hide and seek
pitik,flick
bulag,blind
bulan-laud,moon and stars
laud,stars
agwalis,sweeping
naggapu,came from
agulimekka,you must be quiet
nagdrowing,drew
bituin,star
minarisan,colored
nabayag,a long time
nakadanun,to be found
nakasangpet,arrived
